pop_id	population	latitude	longitude	family	urban_rural	sample_source	ethnic_origin	geographic_region	sample_size	test_date	source_url	retrieved_at
albania	Albania	41º 0' N	20º 0' E	Not Known	Unknown	Anthropology Study	Caucasoid	Europe	160	2009	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Albania	2026-08-26
albania-pop-2	Albania pop 2	41º 9' N	20º 10' E	Grandparents live at same location	Urban and Rural	Anthropology Study	Caucasoid	Europe	432 (C = 157, DQB1 = 200)	2013	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Albania%20pop%202	2026-08-26
albanian-kosovo	Albanian Kosovo	41º 50' N	20º 1' E	Not Known	Urban and Rural	Blood Donor	Caucasoid	Europe	120	2011	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Albanian%20Kosovo	2026-08-26
algeria	Algeria	36º 42' N	3º 13' E	Not Known	Unknown	Anthropology Study	Arab	North Africa	97	2007	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Algeria	2026-08-26
algeria-oran	Algeria Oran	35º 40' N	0º 40' W	Not Known	Rural	Anthropology Study	Arab	North Africa	100	2002	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Algeria%20Oran	2026-08-26
algeria-pop-2	Algeria pop 2	36º 42' N	3º 13' E	Not Known	Unknown	Anthropology Study	Arab	North Africa	106	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Algeria%20pop%202	2026-08-26
american-samoa	American Samoa	14º 18' S	170º 42' W	Not Known	Rural	Anthropology Study	Polynesian	Oceania	51	2002	https://www.allelefrequencies.net/pop6001c.asp?pop_name=American%20Samoa	2026-08-26
argentina-buenos-aires	Argentina Buenos Aires	34º 38' S	58º 28' W	Not Known	Urban	Anthropology Study	Caucasoid	South and Central America	466 (C = 365, DPB1 = 365, DQA1 = 365, DQB1 = 365, DRB1 = 365)	2005	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Argentina%20Buenos%20Aires	2026-08-26
argentina-buenos-aires-cytokine	Argentina Buenos Aires Cytokine	34º 36' S	58º 22' W	Not Known	Unknown	Other	Caucasoid	South and Central America	54	2003	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Argentina%20Buenos%20Aires%20Cytokine	2026-08-26
argentina-buenos-aires-kir	Argentina Buenos Aires KIR	34º 38' S	58º 27' W	Parents live at same location	Urban	Bone Marrow Registry	Caucasoid	South and Central America	365	2005	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Argentina%20Buenos%20Aires%20KIR	2026-08-26
argentina-buenos-aires-pop-2	Argentina Buenos Aires pop 2	34º 36' S	58º 22' W	Not Known	Urban	Other	Caucasoid	South and Central America	1216 (A = 1122, B = 1137)	2003	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Argentina%20Buenos%20Aires%20pop%202	2026-08-26
argentina-chaco-region-el-sauzalito-mataco	Argentina Chaco Region El Sauzalito Mataco	27º 27' S	58º 59' W	Not Known	Rural	Anthropology Study	Amerindian	South and Central America	60	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Argentina%20Chaco%20Region%20El%20Sauzalito%20Mataco	2026-08-26
argentina-chaco-region-wichi-kir	Argentina Chaco Region Wichi KIR	24º 0' S	61º 0' W	Grandparents live at same location	Rural	Anthropology Study	Amerindian	South and Central America	82	2005	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Argentina%20Chaco%20Region%20Wichi%20KIR	2026-08-26
argentina-chiriguano	Argentina Chiriguano	23º 8' S	64º 20' W	Not Known	Rural	Anthropology Study	Amerindian	South and Central America	54	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Argentina%20Chiriguano	2026-08-26
