drugid,name,guidelineid,clinpgxid
ATC:C09AA,"Ace Inhibitors, Plain",,PA164712308
ATC:C10AA,"hmg coa reductase inhibitors",,PA133950441
ATC:D06AX07,gentamicin,826283,PA449753
ATC:G03A,"hormonal contraceptives for systemic use",,PA452637
ATC:J01G,"aminoglycoside antibacterials",,PA452167
ATC:L01A,"Alkylating Agents",,PA164712331
ATC:L01DB,"anthracyclines and related substances",,PA130620651
ATC:L01XA,"Platinum compounds",,PA164713176
ATC:L04AB,"Tumor necrosis factor alpha (TNF-alpha) inhibitors",,PA164713366
ATC:M01AH06,lumiracoxib,110058,PA164769031
ATC:M05BA,Bisphosphonates,,PA164712563
ATC:N05A,antipsychotics,,PA452233
ATC:N06A,antidepressants,,PA452229
ATC:N06AB,"Selective serotonin reuptake inhibitors",,PA164713257
Drugbank:DB09290,ramosetron,100417,PA166365201
Drugbank:DB12752,bucindolol,,PA165945764
MedDRA:10037794,radiotherapy,,PA166122986
MeSH:C515878,ataluren,,PA166151864
MeSH:D013449,sulfonamides,,PA10772
RxNorm:10109,streptomycin,826283,PA451512
RxNorm:1011650,pegloticase,2405438,PA165963961
RxNorm:10154,succinylcholine,100427,PA451522
RxNorm:10169,sulfacetamide,2405438,PA451536
RxNorm:10171,sulfadiazine,2405438,PA451539
RxNorm:10178,sulfadimidine,2405438,PA451542
RxNorm:10184,sulfanilamide,2405438,PA451545
RxNorm:10207,sulfisoxazole,2405438,PA164748964
RxNorm:1025342,l-methylfolate,,PA166182939
RxNorm:103,mercaptopurine,100428,PA450379
RxNorm:10324,tamoxifen,100415,PA451581
RxNorm:10390,tetrabenazine,,PA140222719
RxNorm:10485,thioguanine,100428,PA451663
RxNorm:10502,thioridazine,,PA451666
RxNorm:10600,timolol,,PA451690
RxNorm:10627,tobramycin,826283,PA451704
RxNorm:10633,tolazamide,2405438,PA164774902
RxNorm:10635,tolbutamide,2405438,PA451718
RxNorm:10638,"toluidine blue",2405438,PA166268821
RxNorm:10689,tramadol,100416,PA451735
RxNorm:10759,triamcinolone,,PA451749
RxNorm:10831,"sulfamethoxazole / trimethoprim",2405438,PA10715
RxNorm:10834,trimipramine,100414,PA451791
RxNorm:1086769,vilazodone,100413,PA165958365
RxNorm:11118,"valproic acid",,PA451846
RxNorm:11258,"vitamin k",2405438,PA164713404
RxNorm:11289,warfarin,100425,PA451906
RxNorm:114176,zuclopenthixol,,PA452629
RxNorm:114979,rabeprazole,110076,PA451216
RxNorm:1151,"vitamin c",2405438,PA451898
RxNorm:115698,ziprasidone,,PA451974
RxNorm:117466,tenofovir,,PA10204
RxNorm:1191,aspirin,2405438,PA448497
RxNorm:119565,tolterodine,,PA164746757
RxNorm:1202,atenolol,5290480,PA448499
RxNorm:120608,"peginterferon alfa-2a",100424,PA164749390
RxNorm:121191,rituximab,,PA451261
RxNorm:121243,voriconazole,100410,PA10233
RxNorm:1243041,ivacaftor,100409,PA165950341
RxNorm:1256,azathioprine,100428,PA448515
RxNorm:12574,gemcitabine,,PA449748
RxNorm:1300786,mirabegron,,PA166177513
