latent,inverse_logit,piel_printed_2013,uniform_binomial_conjugate,stukel_piel_printed_2013,stukel_uniform_binomial_conjugate
-10.761491260860083,2.1199934603759115e-05,1.2199663961768987e-07,2.163578174798695e-07,5.7964436533129924e-08,1.2481926973207575e-07
-10.733514842938623,2.1801394015025556e-05,1.3175749012196693e-07,2.3227134263971875e-07,6.3560880632494971e-08,1.3552505820210224e-07
-10.705538425017163,2.241991693707675e-05,1.4226285744515824e-07,2.4930061861113931e-07,6.9665161930647418e-08,1.4709414866675034e-07
-10.677562007095704,2.3055987442741345e-05,1.5356657434202902e-07,2.6751979116983136e-07,7.6320266640567816e-08,1.5959150011236435e-07
-10.649585589174242,2.371010333618901e-05,1.6572613623844293e-07,2.8700764138363503e-07,8.357254149713791e-08,1.730865871585876e-07
-10.621609171252782,2.4382776542364308e-05,1.7880293338272528e-07,3.0784785545837288e-07,9.1471933069117024e-08,1.8765368607323118e-07
-10.593632753331322,2.5074533507461469e-05,1.9286249650810658e-07,3.3012930899850084e-07,1.0007224227998404e-07,2.0337217695684278e-07
-10.565656335409862,2.5785915610752115e-05,2.07974756712116e-07,3.5394636637293496e-07,1.0943139497156733e-07,2.2032686288562114e-07
-10.537679917488402,2.6517479588088007e-05,2.242143202905842e-07,3.7939919590488828e-07,1.1961172938133658e-07,2.3860830683238075e-07
-10.509703499566942,2.7269797967409366e-05,2.4166075929686023e-07,4.0659410163389531e-07,1.3068030144224925e-07,2.5831318721713537e-07
-10.481727081645481,2.8043459516598938e-05,2.6039891863090325e-07,4.356438724284953e-07,1.4270920885319056e-07,2.7954467297152104e-07
-10.453750663724021,2.8839069704031056e-05,2.8051924049815286e-07,4.6666814925926142e-07,1.557759349082999e-07,3.024128190348512e-07
-10.425774245802561,2.9657251172176093e-05,3.0211810711456504e-07,4.9979381147410643e-07,1.6996371311478177e-07,3.2703498323385093e-07
-10.397797827881101,3.0498644224629045e-05,3.2529820257179549e-07,5.3515538295090366e-07,1.8536191367132498e-07,3.5353626553330987e-07
-10.369821409959641,3.1363907326943055e-05,3.5016889481546898e-07,5.7289545903670945e-07,2.0206645292267916e-07,3.8204997068082852e-07
-10.341844992038181,3.2253717621658628e-05,3.7684663872958015e-07,6.1316515521797475e-07,2.2018022695071262e-07,4.1271809530559019e-07
-10.31386857411672,3.3168771457930481e-05,4.0545540136149616e-07,6.5612457850239023e-07,2.3981357050780367e-07,4.4569184056870615e-07
-10.28589215619526,3.4109784936165126e-05,4.3612711036474777e-07,7.0194332253013974e-07,2.6108474254534586e-07,4.8113215150091092e-07
-10.2579157382738,3.5077494468094965e-05,4.6900212678081642e-07,7.508009874707347e-07,2.8412043963782463e-07,5.192102842027551e-07
-10.22993932035234,3.607265735272476e-05,5.0422974332639502e-07,8.0288772580072959e-07,3.0905633865184468e-07,5.6010840212203736e-07
-10.20196290243088,3.709605236860076e-05,5.4196870939931743e-07,8.5840481509813947e-07,3.3603767005921629e-07,6.0402020266421811e-07
-10.17398648450942,3.8148480382864131e-05,5.8238778406434165e-07,9.1756525903072992e-07,3.6521982334419981e-07,6.5115157543268211e-07
-10.146010066587959,3.9230764977563908e-05,6.2566631832925452e-07,9.805944177578399e-07,3.9676898600651755e-07,7.0172129343806325e-07
-10.118033648666499,4.0343753093717599e-05,6.7199486807255081e-07,1.0477306690090314e-06,4.3086281771472194e-07,7.5596173865854414e-07
-10.090057230745039,4.1488315693622746e-05,7.2157583903595456e-07,1.1192261011474658e-06,4.6769116121779674e-07,8.1411966337664499e-07
-10.062080812823579,4.2665348441934579e-05,7.7462416534847608e-07,1.1953472395716229e-06,5.0745679167751685e-07,8.7645698876219289e-07
-10.034104394902119,4.3875772406041826e-05,8.3136802310353616e-07,1.2763758078558872e-06,5.5037620613914817e-07,9.4325164221594274e-07
-10.006127976980659,4.5120534776286366e-05,8.9204958056678644e-07,1.3626095250783099e-06,5.9668045491417076e-07,1.014798435033866e-06
-9.9781515590591994,4.640060960658816e-05,9.5692578664985219e-07,1.4543629408328814e-06,6.4661601670534398e-07,1.091409981998007e-06
-9.9501751411377377,4.7716998576052991e-05,1.0262691993440231e-06,1.5519683094737407e-06,7.0044571936183091e-07,1.1734176645465018e-06
-9.9221987232162778,4.9070731772155881e-05,1.1003688558681845e-06,1.6557765051897643e-06,7.5844970821003528e-07,1.2611726392223653e-06
-9.8942223052948179,5.0462868496112049e-05,1.1795311863468669e-06,1.7661579795602537e-06,8.2092646396441669e-07,1.3550468931483171e-06
-9.8662458873733581,5.1894498091060945e-05,1.2640809728970525e-06,1.8835037632955644e-06,8.8819387228138491e-07,1.4554343483228065e-06
-9.8382694694518982,5.3366740793710192e-05,1.3543623560666595e-06,2.0082265139208392e-06,9.6059034707901694e-07,1.5627520165810033e-06
-9.8102930515304383,5.4880748610101985e-05,1.4507398906330544e-06,2.1407616112162739e-06,1.0384760098049144e-06,1.6774412071131165e-06
-9.7823166336089766,5.6437706216184648e-05,1.5535996528365573e-06,2.2815683022835882e-06,1.1222339268947307e-06,1.7999687884817676e-06
-9.7543402156875167,5.803883188388967e-05,1.6633504011919292e-06,2.4311308981656296e-06,1.2122714077240024e-06,1.9308285071291352e-06
-9.7263637977660569,5.9685378433437238e-05,1.7804247930898969e-06,2.5899600240043843e-06,1.3090213654164397e-06,2.0705423644148863e-06
-9.698387379844597,6.1378634212609236e-05,1.9052806594710361e-06,2.7585939247815646e-06,1.4129437429321074e-06,2.219662054274738e-06
-9.6704109619231371,6.3119924103753998e-05,2.0384023399256189e-06,2.9375998287462282e-06,1.5245270069191835e-06,2.378770463640476e-06
-9.6424345440016772,6.4910610559305439e-05,2.1803020806457174e-06,3.1275753706947836e-06,1.6442897118734986e-06,2.548483237811194e-06
-9.6144581260802155,6.6752094666623052e-05,2.3315214977289447e-06,3.3291500773303609e-06,1.7727821372095599e-06,2.7294504130164518e-06
-9.5864817081587557,6.8645817242980257e-05,2.4926331084079094e-06,3.542986916991232e-06,1.9105879999065672e-06,2.922358118461165e-06
-9.5585052902372958,7.059325996155488e-05,2.6642419328547256e-06,3.7697839161014445e-06,2.0583262454521903e-06,3.1279303501924653e-06
-9.5305288723158359,7.2595946509294978e-05,2.8469871692858626e-06,4.0102758447604226e-06,2.2166529198651246e-06,3.3469308191779169e-06
-9.502552454394376,7.4655443777562342e-05,3.0415439451697489e-06,4.2652359739536331e-06,2.3862631256353627e-06,3.5801648760343566e-06
-9.4745760364729161,7.6773363086478626e-05,3.2486251474170604e-06,4.5354779069312459e-06,2.5678930644786751e-06,3.8284815148949372e-06
-9.4465996185514562,7.8951361443925947e-05,3.4689833345117803e-06,4.821857487368035e-06,2.7623221698572122e-06,4.092775458951759e-06
-9.4186232006299946,8.119114284018059e-05,3.7034127336198891e-06,5.1252747869839386e-06,2.9703753322739777e-06,4.3739893302581443e-06
-9.3906467827085347,8.3494459579184832e-05,3.9527513257916667e-06,5.4466761753715395e-06,3.1929252204023906e-06,4.6731159064238486e-06
-9.3626703647870748,8.5863113647493639e-05,4.2178830224531325e-06,5.7870564748445667e-06,3.4308947011653533e-06,4.9912004668823588e-06
-9.3346939468656149,8.8298958121955934e-05,4.4997399364617688e-06,6.1474612031879879e-06,3.685259361928955e-06,5.3293432314562566e-06
-9.306717528944155,9.0803898617226547e-05,4.7993047510814845e-06,6.5289889072593447e-06,3.9570501380261275e-06,5.6887018939920156e-06
-9.2787411110226934,9.3379894774231218e-05,5.1176131903117883e-06,6.9327935904579845e-06,4.2473560488734189e-06,6.0704942538804865e-06
-9.2507646931012335,9.6028961790739522e-05,5.4557565940855235e-06,7.3600872371473077e-06,4.5573270459901342e-06,6.4760009483226458e-06
-9.2227882751797736,9.8753171995235757e-05,5.8148846019294386e-06,7.8121424371833494e-06,4.8881769762737301e-06,6.9065682882428785e-06
-9.1948118572583137,0.00010155465646530556,6.1962079487602211e-06,8.2902951137703642e-06,5.2411866639267357e-06,7.3636112007944103e-06
-9.1668354393368539,0.00010443560669179589,6.6010013765679169e-06,8.7959473579327151e-06,5.6177071144711178e-06,7.8486162814397767e-06
-9.138859021415394,0.00010739827629003785,7.0306066658159663e-06,9.3305703729586403e-06,6.0191628443227825e-06,8.3631449586308899e-06
-9.1108826034939341,0.00011044498275945894,7.4864357904642245e-06,9.8957075322398778e-06,6.4470553394340167e-06,8.9088367741480325e-06
-9.0829061855724724,0.00011357810929294862,7.9699742005976143e-06,1.0492977553996427e-05,6.9029666465442917e-06,9.4874127821950564e-06
-9.0549297676510125,0.00011680010663737808,8.4827842367171492e-06,1.1124077796442169e-05,7.3885631006071679e-06,1.0100679070381481e-05
-9.0269533497295527,0.00012011349500671751,9.0265086798247057e-06,1.1790787677012776e-05,7.9055991919908002e-06,1.0750530405754776e-05
-8.9989769318080928,0.00012352086604922922,9.6028744415034331e-06,1.2494972219340352e-05,8.4559215770684399e-06,1.143895400907744e-05
-8.9710005138866329,0.00012702488487026148,1.021369639826718e-05,1.3238585731723275e-05,9.0414732358379682e-06,1.216803346057162e-05
-8.943024095965173,0.0001306282921122074,1.0860881374519583e-05,1.4023675620902122e-05,9.6642977802246941e-06,1.2939952740380923e-05
-8.9150476780437113,0.00013433390609323851,1.1546432278530536e-05,1.4852386345012967e-05,1.0326543916733795e-05,1.3757000407024934e-05
-8.8870712601222515,0.00013814462500646524,1.2272452395900276e-05,1.5726963509648275e-05,1.103047006712781e-05,1.4621573917141366e-05
-8.8590948422007916,0.00014206342918122764,1.3041149845044212e-05,1.6649758111015014e-05,1.1778449150810086e-05,1.5536184089835276e-05
-8.8311184242793317,0.00014609338340825976,1.3854842199288231e-05,1.7623230930233659e-05,1.2572973532593303e-05,1.6503459718966299e-05
-8.8031420063578718,0.0001502376393305264,1.4715961280220521e-05,1.8649957082877757e-05,1.3416660139531789e-05,1.7526152336726554e-05
-8.7751655884364119,0.00015449943790157795,1.5627058126998577e-05,1.9732630727905075e-05,1.431225575048501e-05,1.8607141131867819e-05
-8.7471891705149503,0.00015888211191332035,1.6590808146356982e-05,2.0874069940181061e-05,1.5262642462068789e-05,1.9749438025950672e-05
-8.7192127525934904,0.00016338908859514991,1.7610016448107706e-05,2.2077221750843029e-05,1.6270843334632662e-05,2.0956192910990653e-05
-8.6912363346720305,0.00016802389228646078,1.8687623370964974e-05,2.3345167359799672e-05,1.7340028221879295e-05,2.2230699051884825e-05
-8.6632599167505706,0.00017279014718458064,1.9826710203562324e-05,2.4681127524699784e-05,1.8473519787713489e-05,2.3576398656996513e-05
-8.6352834988291107,0.00017769158017025556,2.1030505105562723e-05,2.6088468130745883e-05,1.9674799713878518e-05,2.4996888620278139e-05
-8.6073070809076508,0.00018273202371285949,2.2302389233788031e-05,2.7570705945763962e-05,2.0947515101894475e-05,2.6495926438302056e-05
-8.579330662986191,0.00018791541885756447,2.3645903078316604e-05,2.9131514564971466e-05,2.2295485072774973e-05,2.8077436305560846e-05
-8.5513542450647293,0.00019324581829677126,2.506475301351338e-05,3.0774730549916555e-05,2.3722707567945506e-05,2.9745515391385345e-05
-8.5233778271432694,0.00019872738952816046,2.656281806896847e-05,3.2504359766086448e-05,2.5233366354732789e-05,3.1504440301810137e-05
-8.4954014092218095,0.00020436441810179733,2.8144156925322533e-05,3.4324583923703327e-05,2.6831838239735752e-05,3.3358673729695163e-05
-8.4674249913003496,0.00021016131095877763,2.9813015139957929e-05,3.6239767326243652e-05,2.8522700493316333e-05,3.531287129638937e-05
-8.4394485733788898,0.00021612259986398489,3.1573832607522387e-05,3.825446383122882e-05,3.0310738488383251e-05,3.7371888588187533e-05
-8.4114721554574281,0.00022225294493559056,3.3431251260239752e-05,4.037342402784419e-05,3.2200953556551438e-05,3.9540788390805274e-05
-8.38349573753597,0.00022855713827400398,3.5390123012935184e-05,4.2601602635943596e-05,3.4198571064686634e-05,4.1824848125053713e-05
-8.3555193196145083,0.00023504010769306115,3.7455517957677447e-05,4.4944166130999604e-05,3.6309048714743123e-05,4.4229567486856619e-05
-8.3275429016930484,0.0002417069205562964,3.9632732812892246e-05,4.7406500599542958e-05,3.8538085069702729e-05,4.6760676294700606e-05
-8.2995664837715886,0.00024856278772125375,4.1927299631764333e-05,4.9994219829632412e-05,4.0891628308328724e-05,4.9424142547569566e-05
-8.2715900658501287,0.00025561306759483985,4.4344994774681656e-05,5.2713173640866613e-05,4.3375885211320441e-05,5.2226180696341459e-05
-8.2436136479286688,0.0002628632703028289,4.6891848150413687e-05,5.5569456458432219e-05,4.5997330381345999e-05,5.5173260131582726e-05
-8.2156372300072071,0.00027031906197670386,4.9574152730640591e-05,5.8569416135643178e-05,4.876271569930204e-05,5.8272113890593415e-05
-8.1876608120857473,0.00027798626916110522,5.2398474342364292e-05,6.1719663029394757e-05,5.1679080019007091e-05,6.1529747586496478e-05
-8.1596843941642874,0.00028587088334525781,5.5371661742643215e-05,6.5027079332904476e-05,5.4753759102410483e-05,6.495344856208724e-05
-8.1317079762428275,0.00029397906562182252,5.8500856979978536e-05,6.8498828670062088e-05,5.7994395797234953e-05,6.8550795271068399e-05
-8.1037315583213676,0.00030231715147673011,6.1793506046572562e-05,7.214236595564845e-05,6.140895045882443e-05,7.2329666889223198e-05
-8.0757551403999059,0.00031089165571364136,6.5257369825550963e-05,7.5965447525618474e-05,6.5005711617802627e-05,7.6298253157976211e-05
-8.0477787224784478,0.00031970927751677849,6.890053533709496e-05,7.9976141541559744e-05,6.8793306894983158e-05,8.0465064462696624e-05
-8.0198023045569862,0.00032877690565598686,7.2731427287296534e-05,8.4182838673367205e-05,7.2780714164783861e-05,8.4838942148005489e-05
-7.9918258866355263,0.00033810162383795996,7.6758819923360746e-05,8.859426306405925e-05,7.6977272968223768e-05,8.9429069072212645e-05
