country,population_thousands,crude_birth_rate,who_hbs_region,surveys,hbs_af,hbs_af_iqr_lower,hbs_af_iqr_upper,as_neonates_per_year,as_iqr_lower,as_iqr_upper,ss_neonates_per_year,ss_iqr_lower,ss_iqr_upper,modell_darlison_ss,modell_darlison_outside_flag
Afghanistan,29117,0.0423,EMRO/Arab‐India,1,0.0,0.0,0.001,144,13,1078,0,0,8,0,
Albania,3158,0.0128,EURO/Eurasia,1,0.014,0.009,0.022,1391,863,2112,30,14,58,11,*
Algeria,35423,0.0192,AFRO/Eurasia,18,0.007,0.005,0.01,10486,7351,15100,191,115,332,50,**
Angola,18994,0.0399,AFRO/Sub‐Saharan Africa,18,0.137,0.097,0.192,112443,90764,135659,8364,5880,11735,9560,
Argentina,40668,0.0168,AMRO/Americas,0,0.0,0.0,0.001,444,131,1273,4,1,22,0,**
Armenia,3093,0.015,EURO/Eurasia,0,0.0,0.0,0.001,0,0,8,0,0,0,0,
Aruba,107,0.0111,AMRO/Americas,1,0.016,0.01,0.024,48,30,72,1,0,2,0,**
Australia,21510,0.0135,WPRO/Southeast Asia,2,0.001,0.001,0.002,663,281,1415,5,1,18,0,*
Austria,8403,0.0086,EURO/Eurasia,0,0.002,0.0,0.005,143,19,691,1,0,10,0,*
Azerbaijan,8932,0.0195,EURO/Eurasia,0,0.0,0.0,0.001,4,0,92,0,0,0,4,*
Bahamas,346,0.0152,AMRO/Americas,1,0.024,0.011,0.054,287,130,559,8,3,24,34,*
Bahrain,807,0.0179,EMRO/Arab‐India,0,0.05,0.031,0.076,1548,1104,2016,59,32,98,81,
Bangladesh,164424,0.0195,SEAR/Arab‐India,0,0.001,0.001,0.002,3459,847,11777,16,2,101,0,**
Barbados,257,0.0109,AMRO/Americas,0,0.025,0.01,0.063,179,66,350,4,1,15,4,
Belarus,9579,0.0112,EURO/Eurasia,0,0.0,0.0,0.0,0,0,7,0,0,0,0,
Belgium,10715,0.0114,EURO/Eurasia,18,0.008,0.006,0.011,2302,1695,3094,29,17,49,5,**
Belize,313,0.024,AMRO/Americas,3,0.075,0.051,0.112,937,719,1178,47,31,70,5,**
Benin,9219,0.0383,AFRO/Sub‐Saharan Africa,9,0.159,0.13,0.191,64207,58876,69623,4543,3808,5362,3561,*
Bhutan,723,0.0196,SEAR/Southeast Asia,0,0.001,0.0,0.002,4,0,26,0,0,0,0,
Bolivia (Plurinational State of),9995,0.0258,AMRO/Americas,0,0.0,0.0,0.0,6,0,45,0,0,0,0,
Bosnia and Herzegovina,3746,0.0082,EURO/Eurasia,0,0.003,0.001,0.007,120,18,509,1,0,8,0,*
Botswana,1977,0.0229,AFRO/Sub‐Saharan Africa,4,0.003,0.002,0.007,300,120,693,4,1,15,0,**
Brazil,195453,0.015,AMRO/Americas,47,0.017,0.013,0.022,101138,81605,124941,3244,2312,4570,764,**
Brunei Darussalam,410,0.0182,WPRO/Southeast Asia,0,0.0,0.0,0.0,0,0,0,0,0,0,0,
Bulgaria,7491,0.01,EURO/Eurasia,0,0.007,0.003,0.015,1076,377,2510,17,4,64,0,**
Burkina Faso,16250,0.0424,AFRO/Sub‐Saharan Africa,51,0.056,0.049,0.064,71083,65562,76864,3124,2681,3609,1065,**
Burundi,8519,0.0333,AFRO/Sub‐Saharan Africa,2,0.04,0.029,0.057,24365,19070,30317,889,577,1322,2449,**
Cambodia,15056,0.0216,WPRO/Southeast Asia,1,0.0,0.0,0.0,0,0,0,0,0,0,0,
Cameroon,19957,0.0349,AFRO/Sub‐Saharan Africa,34,0.12,0.105,0.138,109857,102502,117187,6915,6069,7853,5906,*
Canada,33871,0.0113,AMRO/Americas,3,0.004,0.002,0.006,3004,1678,5163,45,17,104,43,
Cape Verde,513,0.0199,AFRO/Sub‐Saharan Africa,3,0.026,0.018,0.036,625,463,800,18,11,28,6,*
Central African Republic,4506,0.0345,AFRO/Sub‐Saharan Africa,2,0.077,0.052,0.113,18315,14060,22742,976,638,1437,677,
Chad,11509,0.0434,AFRO/Sub‐Saharan Africa,6,0.051,0.038,0.069,43553,35604,52360,2045,1459,2788,908,*
Chile,17135,0.014,AMRO/Americas,4,0.0,0.0,0.0,0,0,0,0,0,0,0,
China,1381710,0.0119,WPRO/Southeast Asia,8,0.0,0.0,0.0,43,3,384,0,0,1,0,
Colombia,46305,0.0189,AMRO/Americas,2,0.008,0.004,0.014,14464,7675,25504,321,126,742,537,
Comoros,691,0.0357,AFRO/Sub‐Saharan Africa,2,0.018,0.011,0.031,1105,660,1736,25,10,56,0,**
Congo,3760,0.0346,AFRO/Sub‐Saharan Africa,4,0.145,0.112,0.19,22773,19572,25999,1560,1218,2008,2042,*
"Congo, the Democratic Republic of the",67829,0.0421,AFRO/Sub‐Saharan Africa,11,0.165,0.142,0.191,489745,455733,524014,38217,32838,44870,20113,**
Costa Rica,4640,0.0153,AMRO/Americas,1,0.016,0.008,0.033,2731,1211,5281,60,18,173,8,*
Côte d'Ivoire,21571,0.033,AFRO/Sub‐Saharan Africa,7,0.062,0.047,0.082,74168,61560,88026,3567,2648,4773,1564,**
Croatia,4410,0.0098,EURO/Eurasia,0,0.002,0.001,0.006,137,22,572,1,0,10,0,*
Cuba,11204,0.0096,AMRO/Americas,1,0.03,0.017,0.054,6578,4194,9570,240,111,465,259,
Cyprus,846,0.0115,EURO/Eurasia,1,0.007,0.004,0.013,147,61,308,2,0,6,0,*
Czech Republic,10410,0.0109,EURO/Eurasia,0,0.001,0.0,0.003,59,4,512,0,0,5,0,
Denmark,5482,0.0113,EURO/Eurasia,0,0.0,0.0,0.002,11,0,136,0,0,1,2,*
Djibouti,879,0.0284,EMRO/Sub‐Saharan Africa,0,0.001,0.0,0.001,3,0,29,0,0,0,0,
Dominican Republic,10225,0.0209,AMRO/Americas,0,0.019,0.009,0.04,9461,4334,17804,247,78,672,722,*
Ecuador,13775,0.0198,AMRO/Americas,0,0.0,0.0,0.001,45,3,389,0,0,3,12,*
Egypt,84472,0.0223,EMRO/Eurasia,5,0.012,0.006,0.024,47754,21874,92324,1196,395,3096,19,**
El Salvador,6201,0.02,AMRO/Americas,1,0.014,0.008,0.022,4039,2370,6240,80,33,168,8,*
Equatorial Guinea,693,0.0359,AFRO/Sub‐Saharan Africa,2,0.192,0.144,0.253,5059,4441,5668,385,297,493,182,**
Eritrea,5204,0.0344,AFRO/Sub‐Saharan Africa,0,0.003,0.001,0.006,767,265,2109,9,2,34,0,**
Estonia,1340,0.0121,EURO/Eurasia,0,0.0,0.0,0.0,0,0,0,0,0,0,0,
Ethiopia,84996,0.03,AFRO/Sub‐Saharan Africa,8,0.003,0.002,0.004,11197,6431,18883,137,60,294,1,**
Fiji,854,0.0206,WPRO/Southeast Asia,0,0.0,0.0,0.0,0,0,0,0,0,0,0,
Finland,5346,0.0114,EURO/Eurasia,0,0.0,0.0,0.0,0,0,0,0,0,0,0,
France,62618,0.0124,EURO/Eurasia,7,0.013,0.009,0.018,22040,15621,30597,520,290,915,79,**
French Guiana,231,0.024,AMRO/Americas,6,0.015,0.011,0.021,186,133,251,5,3,8,4,
French Polynesia,272,0.0164,WPRO/Southeast Asia,0,0.0,0.0,0.0,0,0,0,0,0,0,0,
Gabon,1501,0.027,AFRO/Sub‐Saharan Africa,3,0.28,0.223,0.342,9342,8503,10189,864,705,1059,736,
Gambia,1751,0.0369,AFRO/Sub‐Saharan Africa,29,0.075,0.065,0.087,8657,7977,9355,418,359,487,305,*
Georgia,4221,0.0115,EURO/Eurasia,0,0.0,0.0,0.0,0,0,4,0,0,0,0,
Germany,82014,0.0087,EURO/Eurasia,0,0.004,0.002,0.008,5940,2480,12680,85,22,267,23,
Ghana,24339,0.0303,AFRO/Sub‐Saharan Africa,52,0.087,0.079,0.097,102229,96569,107899,5474,4924,6051,4847,*
Greece,11194,0.0101,EURO/Eurasia,31,0.026,0.02,0.037,6667,5142,8664,206,142,322,1,**
Grenada,104,0.0193,AMRO/Americas,0,0.037,0.016,0.079,174,84,284,6,2,14,5,
Guadeloupe,467,0.0132,AMRO/Americas,1,0.031,0.022,0.044,459,343,594,14,8,22,16,
Guam,180,0.0176,WPRO/Southeast Asia,0,0.0,0.0,0.0,0,0,0,0,0,0,0,
Guatemala,14378,0.0315,AMRO/Americas,0,0.011,0.006,0.02,10285,5208,19137,252,105,570,0,**
Guinea,10324,0.0376,AFRO/Sub‐Saharan Africa,1,0.168,0.128,0.213,70965,62302,79040,5232,4063,6564,4325,
Guinea‐Bissau,1647,0.0374,AFRO/Sub‐Saharan Africa,4,0.041,0.029,0.057,5011,3938,6175,192,123,284,0,**
Guyana,761,0.0174,AMRO/Americas,0,0.021,0.009,0.049,622,251,1247,17,5,53,11,
Haiti,10189,0.0257,AMRO/Americas,8,0.051,0.038,0.069,26801,21627,32317,1088,756,1531,622,*
Honduras,7609,0.0258,AMRO/Americas,0,0.049,0.027,0.092,17783,11179,25925,772,368,1473,0,**
Hong Kong,7288,0.0088,WPRO/Southeast Asia,0,0.0,0.0,0.0,0,0,0,0,0,0,0,
Hungary,9979,0.0101,EURO/Eurasia,1,0.001,0.0,0.003,59,4,406,0,0,4,0,
Iceland,329,0.0147,EURO/Eurasia,0,0.0,0.0,0.0,0,0,0,0,0,0,0,
India,1196940,0.0213,SEAR/Arab‐India,113,0.023,0.02,0.027,996563,883210,1135290,42016,35347,50919,25768,**
Indonesia,232546,0.0174,SEAR/Southeast Asia,14,0.0,0.0,0.0,328,79,1206,1,0,7,0,*
"Iran, Islamic Republic of",75084,0.0162,EMRO/Arab‐India,0,0.011,0.007,0.018,25768,16613,39359,862,444,1581,96,**
Iraq,31443,0.0341,EMRO/Arab‐India,1,0.01,0.005,0.022,23488,11617,47957,629,255,1595,499,
